bin_order,Theme1A_Python_resized-crop-stencil_intersections_LCPC-data_fft-output_AllBins.csv,Theme1B_Python_resized-crop-stencil_intersections_LCPC-data_fft-output_AllBins.csv,Theme1C_Python_resized-crop-stencil_intersections_LCPC-data_fft-output_AllBins.csv
1,40212.0,122452.0,207396.0
2,409.7248020407864,1482.7211966937805,3077.5457580298885
3,712.3522969201701,1960.4752335277497,3432.6332445739645
4,931.3612646130088,2313.821552085569,3792.640434663728
5,1033.4207145608818,2521.9150202747696,4017.539158355488
6,1015.5502327506068,2493.4888957779503,4059.770397763802
7,903.6517256200502,2357.978100610029,3953.514217020114
8,755.1640989375819,2183.232091306942,3789.436359541496
9,656.0398712927105,2123.1991353875733,3669.983928069449
10,668.1930227812022,2167.3028252770832,3649.334748139529
11,750.9734636186553,2257.052884723395,3701.64053341491
12,821.6510484627885,2292.9698716743083,3754.2545803375233
13,834.4919573361274,2244.911888720786,3748.044779434713
14,786.6577407480124,2147.5856830479165,3671.7039986281143
15,708.711702031323,2058.2724173770507,3560.2528083670218
16,651.3287578501514,2039.268542501194,3467.3629517708328
17,651.1478067913296,2063.59804446563,3426.1432636162144
18,693.1683180430412,2094.6531126650643,3425.6244822975355
19,731.4071540461458,2070.057349566673,3424.083948464921
20,733.019131571555,2001.2965021532043,3384.0137352582533
21,693.3105779586726,1910.432220401427,3297.51338648398
22,633.359076548465,1853.1139509954469,3188.4204476015266
23,588.9643719049616,1840.4301902523232,3093.6809864897978
24,584.8496170148483,1848.1357222934496,3035.4608780606072
25,609.9615561042777,1836.698176708887,3004.595987573695
26,631.2098454472091,1779.4495895223265,2970.1777131954873
27,624.0556988167277,1697.0363741871313,2904.9904446949736
28,585.288564963402,1615.2870696031307,2804.581873952399
29,532.1407675032727,1573.8172297035403,2688.7268178310187
30,493.0527888789785,1557.7582154523905,2586.380366873993
31,486.4559241582326,1545.85341490325,2513.561436133989
32,501.9838678302923,1500.32127875254,2461.0278799444905
33,512.597006013676,1423.8778401779896,2403.0568374683307
34,498.9684905482511,1334.6989052194162,2318.3383156939653
35,459.44738970203474,1265.630509334489,2205.0202954695988
36,409.20644197766177,1230.3849251441873,2081.051683875362
37,372.519969314948,1207.3686839194354,1970.8787604502577
38,364.2682613763462,1172.6638060850703,1886.609555423821
39,373.79073759145354,1102.7121583670923,1818.376054196744
40,377.2794962617109,1014.9093125699092,1743.2759659028427
41,359.0861389856121,927.236712936294,1643.8509286996282
42,318.8009181415519,870.9786845274592,1520.2762086043042
43,269.93214921010997,836.3721233076396,1389.617760294942
44,234.17485607959364,803.713576819087,1273.5978757700225
45,224.9643719049616,746.2470869677132,1181.680986489799
46,230.84365447648668,661.9010745752441,1103.0642407421883
47,229.77044448379183,568.7897347608871,1016.4116948696762
48,209.43242913502175,490.4363846436364,907.1351445925226
49,170.37524950174014,444.0056271564781,777.0278494066926
50,123.10231017003396,407.5121032133538,642.414950646247
51,85.79672529286051,362.53869397474455,523.3372319375354
52,75.04127268754016,288.69800833168244,427.905222272276
53,79.17782951038872,200.3721970731591,344.0998672968397
54,77.30809876496727,108.86267577608444,251.77662945237472
55,66.87867622470795,41.56666206780382,143.07421675997597
56,60.00000000000008,3.9999999999993463,60.00000000000017
57,66.87867622470797,41.56666206780395,143.07421675997588
58,77.30809876496727,108.86267577608452,251.7766294523745
59,79.1778295103888,200.37219707315916,344.09986729683965
60,75.04127268754016,288.6980083316824,427.9052222722758
61,85.79672529286051,362.53869397474455,523.3372319375354
62,123.10231017003387,407.51210321335367,642.4149506462471
63,170.37524950174011,444.0056271564782,777.0278494066929
64,209.43242913502192,490.43638464363625,907.1351445925226
65,229.7704444837918,568.789734760887,1016.4116948696764
66,230.8436544764865,661.9010745752444,1103.0642407421883
67,224.96437190496167,746.2470869677134,1181.6809864897984
68,234.17485607959352,803.7135768190869,1273.5978757700225
69,269.93214921010997,836.3721233076395,1389.617760294942
70,318.8009181415519,870.9786845274591,1520.276208604304
71,359.0861389856121,927.236712936294,1643.8509286996282
72,377.2794962617108,1014.9093125699088,1743.2759659028427
73,373.79073759145336,1102.712158367092,1818.376054196744
74,364.2682613763462,1172.6638060850703,1886.609555423821
75,372.519969314948,1207.3686839194354,1970.8787604502577
76,409.20644197766165,1230.3849251441875,2081.051683875362
77,459.44738970203474,1265.630509334489,2205.020295469599
78,498.96849054825094,1334.698905219416,2318.338315693965
79,512.597006013676,1423.877840177989,2403.0568374683307
80,501.98386783029247,1500.32127875254,2461.0278799444905
81,486.4559241582326,1545.85341490325,2513.561436133989
82,493.05278887897833,1557.7582154523902,2586.3803668739924
83,532.1407675032727,1573.8172297035403,2688.7268178310183
84,585.288564963402,1615.287069603131,2804.581873952399
85,624.0556988167276,1697.0363741871313,2904.9904446949736
86,631.2098454472091,1779.4495895223267,2970.1777131954864
87,609.9615561042779,1836.6981767088869,3004.595987573695
88,584.8496170148484,1848.1357222934491,3035.460878060607
89,588.9643719049617,1840.4301902523232,3093.6809864897987
90,633.359076548465,1853.113950995447,3188.4204476015266
91,693.3105779586726,1910.432220401427,3297.51338648398
92,733.019131571555,2001.2965021532043,3384.0137352582537
93,731.4071540461458,2070.0573495666727,3424.0839484649205
94,693.168318043041,2094.653112665065,3425.624482297536
95,651.1478067913296,2063.59804446563,3426.1432636162144
96,651.3287578501513,2039.268542501194,3467.3629517708328
97,708.711702031323,2058.2724173770507,3560.2528083670213
98,786.6577407480124,2147.585683047916,3671.703998628114
99,834.4919573361274,2244.911888720786,3748.0447794347137
100,821.6510484627888,2292.9698716743073,3754.254580337523
101,750.9734636186553,2257.052884723395,3701.64053341491
102,668.1930227812021,2167.3028252770832,3649.334748139528
103,656.0398712927106,2123.1991353875733,3669.983928069448
104,755.1640989375819,2183.2320913069425,3789.436359541497
105,903.65172562005,2357.978100610029,3953.514217020113
106,1015.550232750607,2493.4888957779494,4059.770397763802
107,1033.4207145608818,2521.9150202747705,4017.5391583554874
108,931.3612646130084,2313.821552085569,3792.640434663728
109,712.3522969201703,1960.47523352775,3432.633244573965
